filename	xmlid	author	title	firstedition	language	gender	size	reprints	timeslot	authorid	printedition	pubplace
FRA00501_Balzac	FRA00501	Balzac, Honoré de	Albert Savarus	1842	fra	M	short	high	T1	viaf:29529595	1842	Paris
FRA06201_Viel-Castel	FRA06201	Viel-Castel, Horace de	Archambaud de Comborn	1845	fra	M	medium	low	T1	viaf:69051610	1845	NA
FRA00502_Balzac	FRA00502	Balzac, Honoré de	Le cousin Pons	1847	fra	M	long	high	T1	viaf:29529595	1842-1848	Paris
FRA00101_Adam	FRA00101	Adam, Juliette	Mon Village	1868	fra	F	short	low	T2	viaf:64000638	1868	Paris
FRA01402_Fleuriot	FRA01402	Fleuriot, Zénaïde	En congé	1874	fra	F	short	low	T2	viaf:41872490	NA	NA
FRA06401_Chandeneux	FRA06401	Chandeneux, Claire de [Bérenger, Louise Lucienne Emma]	Les Ménages militaires	1876	fra	F	long	low	T2	viaf:54272906 wikidata:Q2975144	1876-1878	Paris
FRA06301_Montepin	FRA06301	de Montépin, Xavier	La porteuse de pain	1884	fra	M	long	high	T3	viaf:87953024 wikidata:Q2735316	NA	NA
FRA06501_Gyp	FRA06501	Gyp [Mirabeau, Sibylle Riquetti de]	Totote	1897	fra	F	short	low	T3	viaf:96218572 wikidata:Q199228	1897	Paris
FRA06601_Peladan	FRA06601	Peladan, Joséphin [Joseph-Aimé Peladan]	Modestie et vanité, roman (La décadence latine, éthopée, XVI)	1902	fra	M	medium	low	T4	viaf:934869 wikidata:Q710019	1902	Paris
FRA02901_Noailles	FRA02901	Noailles, Anna de	La nouvelle espérance	1903	fra	F	medium	low	T4	viaf:95303465	1903	Paris, 3 rue Auber
FRA05901_Moselly	FRA05901	Moselly, Emile	Terres lorraines	1907	fra	M	medium	low	T4	viaf:19681833	1907	NA
FRA04401_Barbusse	FRA04401	Barbusse, Henri	Le Feu	1916	fra	M	long	high	T4	viaf:68925116 wikidata:Q18404	1916	NA
